exercise,have,resp_time,schedule,walk,location,subject_number
1,2,1365240346,2,3,,u44
1,2,1365358010,2,3,,u44
1,2,1365385101,2,2,,u44
1,2,1365491021,2,3,,u44
1,2,1366164485,2,3,,u44
1,2,1365575762,2,3,,u44
1,2,1365647683,2,2,,u44
1,2,1366014539,2,1,,u44
3,1,1366303030,2,3,,u44
3,1,1366344275,2,3,"43.69213733,-72.26689796",u44
1,2,1366405896,2,3,"43.70311929,-72.28220394",u44
1,2,1366510489,2,3,"43.70938367,-72.28461173",u44
1,2,1366564149,2,2,"43.6926262,-72.26656479",u44
1,2,1366604788,2,3,"43.69210219,-72.26702034",u44
1,2,1366787164,2,3,"43.69236557,-72.26688975",u44
1,2,1366858196,2,3,"43.69935873,-72.28135033",u44
1,2,1366945782,2,3,"43.6920329,-72.26703169",u44
1,2,1367039294,2,3,"43.69223254,-72.26690047",u44
1,2,1367108725,2,2,Unknown,u44
1,2,1367204099,2,2,"43.69149444,-72.26930575",u44
1,2,1367375765,2,2,"43.69226652,-72.2670805",u44
1,2,1367462830,2,2,"43.69226178,-72.26680454",u44
1,2,1367638247,2,2,"43.70976741,-72.28416244",u44
1,2,1368079736,2,2,"43.69230186,-72.26682816",u44
1,2,1367987097,2,2,"43.70672846,-72.28635162",u44
1,2,1367802293,2,2,"43.70697752,-72.28728895",u44
3,1,1368161237,2,2,"43.69233024,-72.26686976",u44
1,2,1368678553,2,2,"43.6922921,-72.26685465",u44
1,2,1368333034,2,2,Unknown,u44
1,2,1368770197,2,2,"43.69430156,-72.26583813",u44
1,2,1368579649,2,2,"43.69175278,-72.26719117",u44
1,2,1368928069,2,2,"43.692126,-72.26679446",u44
1,2,1369113021,2,2,"43.69227685,-72.26694425",u44
1,2,1369198726,2,2,"43.69245721,-72.26707397",u44
1,2,1369416059,2,2,"43.69222786,-72.26719913",u44
1,2,1370034947,2,2,"43.69232465,-72.26672118",u44
1,2,1364899372,1,2,,u45
1,2,1365042657,2,2,,u45
1,2,1365131200,1,3,,u45
1,2,1365213674,2,1,,u45
1,2,1366604985,1,1,"43.71778546,-72.30681569",u45
2,2,1367113816,1,2,Unknown,u45
1,2,1369088792,1,2,"43.7008504,-72.28635463",u45
1,2,1364955245,1,2,,u46
3,1,1364875417,null,3,,u46
1,2,1364841300,1,1,,u46
4,1,1365042055,null,3,,u46
1,2,1365127223,2,2,,u46
1,2,1365380437,null,2,,u46
1,2,1365294192,null,2,,u46
5,1,1365475763,null,2,,u46
1,2,1365572016,2,2,,u46
1,2,1366043665,1,2,,u46
1,2,1366344903,null,3,"43.70581816,-72.28762381",u46
1,2,1367025806,2,3,"44.45491021,-73.18366108",u46
1,2,1367200811,2,3,"43.70528998,-72.29031972",u46
1,2,1364877091,2,2,,u47
1,2,1366344553,1,2,"43.702567806467414,-72.28883751668036",u47
1,2,1366509873,1,2,"43.70685012079775,-72.28665403090417",u47
1,2,1366603715,1,2,"43.70653114747256,-72.28706650435925",u47
4,1,1367118614,2,2,"43.705234131775796,-72.28328417055309",u47
1,2,1367640016,2,4,Unknown,u47
1,2,1368849674,2,3,Unknown,u47
1,null,1369004656,null,1,"43.68147579487413,-72.32193337753415",u47
1,null,1369771207,null,1,"43.681430825963616,-72.32192139141262",u47
3,1,1364875929,null,2,,u49
