happy,happyornot,location,resp_time,sad,sadornot,subject_number
1,1,"43.70622458,-72.28310226",1368602620.0,1,1,u58
2,1,"43.70612218,-72.28329793",1368776898.0,1,1,u58
1,2,"43.7061924,-72.28343594",1369015219.0,1,1,u58
4,1,"43.70617198,-72.28334412",1368869780.0,1,2,u58
1,1,"43.70618308,-72.28327414",1369105248.0,1,2,u58
1,1,"43.7062243,-72.28296326",1369194953.0,2,1,u58
3,1,"43.70675768,-72.28296487",1369364285.0,1,1,u58
1,2,"43.70613947,-72.28322684",1369451558.0,1,1,u58
4,1,"43.70616436,-72.28339582",1369727153.0,1,2,u58
2,1,"43.70622442,-72.2833425",1369779437.0,1,1,u58
2,1,"43.703413414768875,-72.28902460075915",1366844735.0,1,2,u59
1,1,"43.70548307429999,-72.2909040749073",1366858887.0,1,1,u59
3,1,"43.707177895121276,-72.28785742074251",1366913467.0,1,2,u59
3,1,"43.703650454990566,-72.29038355872035",1366934016.0,1,1,u59
2,1,"43.705437812022865,-72.29115846566856",1366964164.0,1,2,u59
1,1,Unknown,1367064108.0,2,1,u59
1,1,"43.706689733080566,-72.28658253327012",1367223267.0,2,1,u59
3,1,"43.70636967010796,-72.28717530146241",1367231226.0,1,1,u59
1,1,"43.705516937188804,-72.29096400551498",1367183477.0,1,1,u59
3,1,"43.70481344405562,-72.28933095932007",1367251091.0,1,1,u59
1,2,Unknown,1367318947.0,3,1,u59
2,1,"43.70579710230231,-72.29083056561649",1367348614.0,2,1,u59
1,1,"43.70313869789243,-72.2904294077307",1367384453.0,1,1,u59
3,1,"43.70489332359284,-72.28969481773674",1367478676.0,1,2,u59
3,1,"43.70554116088897,-72.29079972021282",1367460117.0,1,2,u59
1,1,"43.70563415810466,-72.2912774886936",1367510597.0,1,1,u59
3,1,"43.70413077995181,-72.2902893461287",1367539233.0,1,2,u59
3,1,"43.70568541344255,-72.29091857559979",1367557250.0,1,2,u59
1,1,"29.90291280671954,-90.0272652413696",1368360450.0,3,1,u59
3,1,Unknown,1367720054.0,1,1,u59
2,1,"43.70551781728864,-72.29054197669029",1367787376.0,1,1,u59
1,2,"43.706466439180076,-72.28715711273253",1368014869.0,3,1,u59
3,1,"43.70416569057852,-72.29038154706359",1367893812.0,1,2,u59
1,1,Unknown,1368230431.0,4,1,u59
1,1,"43.70743128005415,-72.28925778530538",1368605562.0,1,1,u59
4,1,Unknown,1367663228.0,1,2,u59
1,1,"33.64048871677369,-84.43573283962905",1368293650.0,3,1,u59
3,1,Unknown,1367984923.0,1,1,u59
2,1,Unknown,1368597703.0,1,1,u59
2,1,Unknown,1367624964.0,1,1,u59
1,1,"43.705429220572114,-72.29127271100879",1367945847.0,2,1,u59
3,1,"43.706673136912286,-72.29037056677043",1368072252.0,1,1,u59
1,1,Unknown,1368087735.0,1,2,u59
2,1,"43.703217948786914,-72.28930891491473",1368122107.0,1,2,u59
1,1,"29.90313538815826,-90.02738610841334",1368430010.0,2,1,u59
1,1,"43.70553600601852,-72.29107699356973",1368718907.0,1,1,u59
4,1,"43.70492928195745,-72.29191333986819",1368911292.0,1,2,u59
2,1,"43.70531283784658,-72.28896860964596",1368835447.0,1,2,u59
2,1,"43.705568527802825,-72.29081480763853",1368992101.0,1,2,u59
2,1,"43.704725224524736,-72.28949784301221",1369009496.0,1,2,u59
1,1,"43.70559212286025,-72.29091203771532",1369082859.0,1,2,u59
2,1,"43.70559212286025,-72.29091203771532",1369090436.0,1,2,u59
3,1,Unknown,1369162536.0,1,2,u59
1,1,"43.70286435820162,-72.28974292986095",1369201140.0,1,1,u59
2,1,"43.705720701254904,-72.29104246012866",1369249107.0,1,null,u59
3,1,"43.705720701254904,-72.29104246012866",1369272645.0,1,2,u59
2,1,"43.705720701254904,-72.29104246012866",1369267429.0,3,1,u59
3,1,Unknown,1369331974.0,1,2,u59
2,1,"43.70550733990967,-72.2909749019891",1369681752.0,1,2,u59
4,1,Unknown,1369354333.0,1,2,u59
1,2,Unknown,1369375653.0,1,2,u59
2,1,Unknown,1369414847.0,1,1,u59
1,1,Unknown,1369447421.0,1,1,u59
1,2,Unknown,1369734934.0,1,1,u59
4,1,"43.705530599690974,-72.29089292697608",1369944203.0,1,2,u59
3,1,"43.70569061022252,-72.2908440604806",1370023695.0,1,1,u59
1,1,"43.705530599690974,-72.29089292697608",1369930323.0,1,1,u59
2,1,"43.705819859169424,-72.29087230749428",1369595863.0,1,2,u59
1,1,"43.705510566942394,-72.29118637740612",1369644235.0,2,1,u59
3,1,Unknown,1369713628.0,1,2,u59
1,2,"43.70560381561518,-72.29110607877374",1369771667.0,2,1,u59
2,1,Unknown,1369792851.0,1,1,u59
1,2,Unknown,1369800330.0,1,1,u59
1,1,Unknown,1369874551.0,2,1,u59
2,1,"40.69961621426046,-73.81507202982903",1370092149.0,1,1,u59
3,1,Unknown,1369994248.0,1,2,u59
4,1,Unknown,1369958479.0,1,2,u59
4,1,"43.70243239682168,-72.28868303820491",1370031306.0,1,2,u59
3,1,"29.902872280217707,-90.02744721248746",1370387903.0,1,2,u59
3,1,"29.902838333509862,-90.02745215781033",1370221181.0,1,2,u59
