,User,how,location,resp_time,null
59,u16,2.0,"43.70383449,-72.29122954",2013-04-26 22:41:36,
60,u16,2.0,"43.70383449,-72.29122954",2013-04-27 04:35:12,
61,u16,2.0,"43.70381392,-72.29084126",2013-04-26 20:07:07,
62,u16,3.0,"43.70376088,-72.29035391",2013-04-30 17:12:34,
63,u16,3.0,Unknown,2013-05-01 21:19:38,
64,u16,1.0,"43.70660885,-72.28790486",2013-05-03 02:04:16,
65,u16,1.0,"43.70660885,-72.28790486",2013-05-03 02:03:00,
66,u16,3.0,"43.70370653,-72.29072205",2013-05-07 22:06:16,
67,u16,2.0,"43.70601666,-72.28843656",2013-05-09 23:39:42,
68,u16,2.0,"43.70355342,-72.29047722",2013-05-04 18:20:28,
69,u16,2.0,"43.70601666,-72.28843656",2013-05-10 00:00:10,
70,u16,2.0,"43.70391463,-72.28988644",2013-05-14 02:22:31,
71,u16,2.0,"43.70369577,-72.29064258",2013-05-06 17:17:41,
72,u16,3.0,"43.70534496,-72.29049134",2013-05-07 17:47:52,
73,u16,1.0,"43.70322195,-72.29064633",2013-05-12 00:33:26,
74,u16,3.0,Unknown,2013-05-12 19:14:52,
75,u16,2.0,"43.70831437,-72.28461036",2013-05-06 23:58:52,
76,u16,2.0,"43.70317722,-72.28939878",2013-05-11 16:36:32,
77,u16,3.0,"43.70745176,-72.28884841",2013-05-11 00:57:41,
78,u16,2.0,"43.70391463,-72.28988644",2013-05-15 00:11:02,
79,u16,3.0,"43.70397531,-72.28989529",2013-05-04 22:21:59,
80,u16,2.0,"43.70363675,-72.29111179",2013-05-08 23:52:41,
81,u16,2.0,"43.70397531,-72.28989529",2013-05-05 17:09:55,
82,u16,2.0,"43.70339979,-72.28817654",2013-05-13 19:06:09,
83,u16,1.0,"43.70374249,-72.29050587",2013-05-15 21:36:44,
84,u16,2.0,"43.70633473,-72.28883226",2013-05-19 00:43:23,
85,u16,3.0,Unknown,2013-05-21 02:47:21,
86,u16,3.0,Unknown,2013-05-21 16:12:33,
87,u16,2.0,"43.70688262,-72.28760657",2013-05-23 00:01:31,
88,u16,2.0,"43.70675104,-72.28740962",2013-05-24 01:56:53,
89,u16,3.0,"43.70364151,-72.29040973",2013-05-26 00:11:33,
90,u16,2.0,"43.70374301,-72.29092429",2013-05-25 00:01:25,
91,u16,3.0,"43.70380362,-72.29043066",2013-06-01 00:31:26,
92,u16,2.0,"43.68753666,-72.29250241",2013-05-28 20:09:20,
93,u16,3.0,"43.68753666,-72.29250241",2013-05-30 01:04:19,
94,u17,2.0,"43.70685225,-72.28683238",2013-04-26 23:09:51,
95,u17,2.0,"43.7060191,-72.28758328",2013-04-26 07:27:21,
96,u17,3.0,"43.70366438,-72.2901632",2013-04-28 00:23:30,
97,u17,2.0,Unknown,2013-04-29 04:33:42,
98,u17,2.0,"43.7047545,-72.28932815",2013-05-14 03:59:39,
99,u17,2.0,"43.70440297,-72.29096024",2013-05-05 23:36:02,
100,u17,2.0,"43.70177529,-72.28874021",2013-05-07 22:09:01,
101,u17,3.0,"43.70440021,-72.29112204",2013-05-13 02:57:38,
102,u17,2.0,"43.70551279,-72.29153409",2013-05-21 00:01:52,
103,u17,2.0,"43.70551279,-72.29153409",2013-05-21 00:01:26,
104,u17,2.0,"43.70583041,-72.28925846",2013-05-31 04:37:22,
105,u18,3.0,"43.70606925,-72.28936104",2013-04-26 23:06:15,
106,u18,1.0,"43.70659786,-72.28668336",2013-05-04 22:02:00,
107,u18,2.0,"43.7076324,-72.2890398",2013-05-11 00:37:53,
108,u18,1.0,"43.70732876,-72.28925613",2013-05-27 00:00:08,
109,u19,2.0,"43.70677529,-72.2870866",2013-04-27 22:13:51,
110,u19,2.0,"43.70846677,-72.28804608",2013-04-25 23:26:26,
111,u19,1.0,"43.70711699,-72.28611745",2013-04-26 22:36:38,
112,u19,2.0,"43.70270044,-72.28974421",2013-04-26 05:55:35,
113,u19,3.0,"43.70101204,-72.28677708",2013-05-01 09:29:21,
114,u19,1.0,"43.70607849,-72.28457859",2013-05-03 03:29:30,
115,u19,1.0,"43.70662811,-72.28716203",2013-05-10 02:52:10,
116,u19,1.0,"43.70705362,-72.28594706",2013-05-04 02:49:55,
117,u19,1.0,"43.70670191,-72.28568105",2013-05-14 03:16:17,
118,u19,3.0,"43.70691192,-72.28587513",2013-05-05 07:54:07,
119,u19,1.0,"43.70705362,-72.28594706",2013-05-04 02:23:45,
120,u19,2.0,Unknown,2013-05-07 22:16:31,
121,u19,2.0,"43.70743065,-72.286434",2013-05-13 00:30:26,
122,u19,1.0,"43.70700456,-72.28598088",2013-05-11 03:16:31,
123,u19,2.0,"43.70714135,-72.28594665",2013-05-17 07:25:41,
124,u19,1.0,"43.70553571,-72.28844634",2013-05-20 00:32:33,
125,u19,1.0,"43.70754131,-72.28597491",2013-05-20 08:29:05,
126,u19,3.0,"43.70712264,-72.28701115",2013-05-21 09:12:20,
127,u19,3.0,"43.7040776,-72.29042456",2013-05-22 08:10:42,
128,u19,3.0,"43.70591461,-72.28849116",2013-05-29 01:36:57,
129,u19,2.0,Unknown,2013-05-24 08:16:04,
130,u19,1.0,"43.70696465,-72.28583899",2013-05-31 07:12:33,
131,u19,2.0,"43.70706719,-72.28602375",2013-05-26 01:57:36,
132,u19,1.0,"43.70704382,-72.28594456",2013-06-01 00:48:46,
134,u22,1.0,"43.70433388,-72.29020625",2013-05-08 22:24:10,
135,u22,1.0,"43.70419189,-72.29048043",2013-05-10 01:33:59,
136,u22,1.0,"43.70419189,-72.29048043",2013-05-10 01:37:36,
137,u22,1.0,Unknown,2013-05-11 00:00:15,
138,u22,1.0,Unknown,2013-05-07 23:09:36,
139,u22,2.0,"43.70460383,-72.29228358",2013-05-19 00:45:13,
140,u23,1.0,"43.70650611,-72.28685219",2013-04-27 22:04:44,
141,u24,1.0,"43.70334641,-72.28788749",2013-05-14 01:54:35,
142,u24,3.0,"43.4009285,-72.02075727",2013-05-17 19:32:58,
143,u27,1.0,"43.70426762,-72.28661209",2013-05-15 03:28:44,
144,u27,3.0,"43.70417765,-72.28574551",2013-05-09 23:06:15,
145,u27,3.0,Unknown,2013-05-07 22:00:05,
146,u27,1.0,"43.70375608,-72.28703624",2013-06-01 00:42:27,
148,u32,3.0,"43.70608389,-72.29104393",2013-04-26 22:53:36,
149,u32,1.0,Unknown,2013-05-06 23:12:50,
150,u32,1.0,"43.65273307,-72.24424084",2013-05-27 06:29:08,
151,u33,2.0,"43.70447388,-72.29152074",2013-04-30 07:20:13,
152,u33,2.0,"43.7037887,-72.29615197",2013-04-26 22:17:01,
153,u33,3.0,"43.701888339999996,-72.28851972",2013-05-03 04:33:07,
154,u33,2.0,"43.70583433,-72.28880318",2013-05-05 01:15:43,
155,u33,2.0,"43.70353749,-72.29596044",2013-05-07 22:42:44,
156,u33,2.0,"43.70341223,-72.29622026",2013-05-05 22:38:10,
157,u33,3.0,"43.70416591,-72.29582511",2013-05-14 00:01:22,
158,u33,2.0,Unknown,2013-05-08 22:59:24,
159,u33,1.0,"43.70340681,-72.29510547",2013-05-12 00:36:21,
160,u33,2.0,"43.70340016,-72.29598785",2013-05-18 23:59:00,
161,u33,2.0,"43.70339898,-72.29596704",2013-05-20 23:58:56,
162,u33,2.0,,2013-05-26 00:18:30,
163,u33,3.0,Unknown,2013-05-30 02:20:10,
164,u33,2.0,"43.7035783,-72.29597417",2013-05-31 00:00:32,
165,u33,1.0,"43.70361662,-72.29629397",2013-06-04 00:37:37,
166,u34,1.0,"43.70778087,-72.284494",2013-05-15 02:55:51,
167,u35,1.0,"43.65861498,-72.24869697",2013-05-10 03:09:13,
168,u35,3.0,"43.65861498,-72.24869697",2013-05-08 22:11:26,
169,u35,3.0,"43.65879142,-72.24859263",2013-05-04 23:08:06,
170,u35,1.0,"43.65841652,-72.30653646",2013-05-13 00:00:11,
171,u35,2.0,"43.70206724,-72.28924417",2013-05-11 00:39:23,
172,u35,1.0,"43.70517353,-72.28354394",2013-05-06 22:11:38,
173,u35,1.0,"43.70915015,-72.28604265",2013-05-12 01:26:07,
174,u35,3.0,"43.70538726,-72.28309592",2013-05-19 00:48:51,
175,u35,2.0,"43.65860676,-72.24874362",2013-05-20 00:50:56,
176,u35,2.0,Unknown,2013-05-26 00:05:34,
177,u35,1.0,"43.70531079,-72.28305863",2013-05-25 00:21:25,
178,u35,2.0,Unknown,2013-06-01 01:47:00,
179,u36,2.0,"43.706598819999996,-72.28705791",2013-04-26 22:29:39,
180,u36,2.0,"43.70674054,-72.28704712",2013-04-27 22:47:18,
181,u36,2.0,"43.70630215,-72.2870075",2013-05-03 05:10:25,
182,u36,2.0,"43.70646662,-72.28716438",2013-05-07 01:39:30,
183,u36,1.0,"43.69722174,-72.28097189",2013-05-09 00:07:19,
184,u36,2.0,"43.70627941,-72.28722721",2013-05-07 22:31:37,
185,u36,2.0,"43.7066861,-72.28705909",2013-05-11 02:12:31,
186,u36,2.0,"43.70698222,-72.28667187",2013-05-10 01:17:43,
187,u36,2.0,Unknown,2013-05-13 01:33:55,
188,u36,2.0,"43.65173048,-72.309999",2013-05-19 00:25:56,
189,u36,1.0,"43.70638831,-72.28701556",2013-05-21 00:50:06,
190,u36,2.0,"43.65171421,-72.30991725",2013-05-23 00:47:41,
191,u36,2.0,"43.70331517,-72.2903492",2013-05-24 00:25:05,
192,u36,1.0,"43.70652774,-72.28696301",2013-05-25 00:56:08,
193,u36,1.0,"43.70694171,-72.28700511",2013-05-27 00:36:52,
194,u36,1.0,"43.70675448,-72.28725884",2013-05-30 00:31:33,
195,u41,3.0,"43.7037783,-72.28595415",2013-05-12 00:04:56,
196,u41,2.0,"43.70429654,-72.28590964",2013-05-13 00:00:04,
197,u42,1.0,Unknown,2013-05-12 01:39:28,
198,u42,1.0,"43.66270982,-72.25494813",2013-05-13 19:40:39,
199,u42,1.0,"43.68142273,-72.27279919",2013-05-08 22:19:41,
200,u42,1.0,"43.65874258,-72.2487922",2013-05-09 22:05:49,
201,u42,1.0,"43.69336363,-72.27365248",2013-05-05 23:59:01,
202,u42,1.0,"43.65895537,-72.24885603",2013-05-13 00:35:20,
203,u42,1.0,"43.66270982,-72.25494813",2013-05-13 19:40:27,
204,u42,1.0,"43.70453685,-72.2881513",2013-05-15 01:57:47,
205,u42,1.0,"43.70351027,-72.28230729",2013-05-14 00:58:25,
206,u42,1.0,"43.65874157,-72.24869478",2013-05-20 00:03:58,
207,u42,1.0,"43.65863402,-72.24909156",2013-05-23 00:11:12,
208,u42,1.0,"43.70474518,-72.28804204",2013-05-28 00:42:01,
209,u42,1.0,"43.65870942,-72.24896069",2013-06-01 00:56:39,
210,u43,1.0,"43.70334991,-72.28797101",2013-05-07 22:22:39,
211,u43,1.0,Unknown,2013-05-24 00:11:09,
212,u44,2.0,"43.69221585,-72.26709452",2013-04-25 16:30:22,
213,u44,2.0,"43.7069105,-72.28675521",2013-04-26 23:54:13,
214,u44,1.0,"43.69213926,-72.26672014",2013-05-07 22:07:47,
215,u44,2.0,"43.70976741,-72.28416244",2013-05-04 03:30:36,
216,u44,1.0,"43.70691341,-72.28711558",2013-05-06 22:44:01,
217,u44,2.0,"43.69204241,-72.26714416",2013-05-23 00:33:29,
218,u44,2.0,"43.70950016,-72.28439255",2013-05-25 00:01:05,
219,u45,2.0,"43.70895574,-72.28520194",2013-05-07 22:04:41,
220,u45,1.0,"43.7085868,-72.28586047",2013-05-14 00:08:05,
221,u45,1.0,"43.70704252,-72.28687893",2013-05-08 22:14:26,
222,u45,1.0,Unknown,2013-05-11 00:46:57,
223,u45,3.0,"43.70865564,-72.28578202",2013-05-12 00:50:46,
224,u45,1.0,"43.63503203,-72.31637259",2013-05-06 22:30:46,
225,u45,1.0,"43.70865564,-72.28578202",2013-05-13 01:48:46,
226,u45,1.0,Unknown,2013-05-25 00:00:32,
227,u46,2.0,"43.70634592,-72.2884467",2013-04-26 22:00:10,
228,u46,3.0,"43.70908413,-72.28431398",2013-05-03 02:11:34,
229,u46,2.0,"43.70687011,-72.28716383",2013-05-04 02:20:47,
230,u46,2.0,"43.70241262,-72.28692452",2013-05-07 22:20:22,
231,u47,1.0,Unknown,2013-05-04 03:57:44,
232,u47,1.0,"43.68147579487413,-72.32193337753415",2013-05-20 00:32:26,
233,u47,2.0,"43.70307348668575,-72.29181686416268",2013-05-21 00:09:48,
234,u47,3.0,"43.706723637878895,-72.28743882849813",2013-05-23 00:00:21,
235,u47,2.0,"43.7070740852505,-72.28581625968218",2013-05-24 00:05:59,
236,u47,1.0,"43.632881795056164,-72.31773060746491",2013-05-26 00:20:37,
237,u47,1.0,"43.70288774371147,-72.29048950597644",2013-05-28 01:45:36,
238,u49,1.0,"43.7061501468382,-72.28848699332445",2013-04-26 22:12:08,
239,u49,1.0,"43.707151418494384,-72.29058943316315",2013-05-03 02:00:31,
240,u49,1.0,"43.707282561484476,-72.29058439391278",2013-05-06 23:51:38,
241,u49,3.0,"43.705985547631826,-72.2890841770398",2013-05-07 06:02:33,
242,u49,1.0,"43.70377306642512,-72.28776140116048",2013-05-14 00:05:50,
243,u49,2.0,"43.707379586159206,-72.29060853495425",2013-05-04 22:00:21,
244,u49,1.0,"43.70311076889067,-72.29034101735787",2013-05-05 06:02:49,
245,u49,2.0,"43.707145329987014,-72.29043743098563",2013-05-04 21:04:40,
246,u49,1.0,"43.70709230032404,-72.29071911981403",2013-05-10 07:56:59,
247,u49,3.0,"43.63859500978054,-72.21364092980868",2013-05-13 02:53:33,
248,u49,1.0,"43.70377306642512,-72.28776140116048",2013-05-13 19:10:25,
249,u49,1.0,"43.70728455517431,-72.2906448611393",2013-05-18 06:32:44,
250,u49,3.0,"43.70693037013252,-72.29080128229405",2013-05-19 00:59:20,
251,u49,1.0,"43.70705546477196,-72.29062002318801",2013-05-24 07:55:42,
252,u49,1.0,"43.7072259238806,-72.29061095852634",2013-05-31 07:52:35,
253,u49,1.0,"43.706969888401865,-72.29062563084044",2013-05-26 00:54:25,
254,u49,1.0,"43.70730262660705,-72.29076807376563",2013-05-27 00:58:27,
255,u49,3.0,"43.70719884051104,-72.29071075450138",2013-05-30 02:06:09,
256,u51,2.0,"43.70654886,-72.28703863",2013-05-03 03:18:53,
257,u51,1.0,"42.03730138,-72.61212822",2013-05-05 23:55:36,
258,u51,3.0,"43.70867738,-72.28278821",2013-05-13 17:28:16,
259,u51,2.0,"42.03807185,-72.61743268",2013-05-05 23:55:39,
260,u51,3.0,"43.70775941,-72.28447077",2013-05-10 00:31:03,
261,u51,2.0,Unknown,2013-05-07 22:20:39,
262,u51,2.0,"43.70644429,-72.28740351",2013-05-11 02:17:01,
263,u51,1.0,Unknown,2013-05-12 21:30:26,
264,u51,2.0,"43.70636234,-72.28679273",2013-05-14 00:02:56,
265,u51,3.0,"43.70683711,-72.28723903",2013-05-21 00:08:07,
266,u51,2.0,"43.70580786,-72.28778398",2013-05-31 00:46:34,
267,u51,2.0,"43.70738663,-72.28550615",2013-05-30 00:26:10,
268,u52,2.0,"43.70728008333333,-72.2892484",2013-04-26 22:38:01,
269,u52,1.0,"43.70425155,-72.29039568333333",2013-05-04 23:37:39,
270,u52,1.0,"43.707672716666664,-72.28611655",2013-05-22 00:00:44,
271,u53,1.0,"43.72386214,-72.31533904",2013-04-28 08:07:38,
272,u53,1.0,"43.70554966,-72.28302358",2013-05-03 02:37:54,
273,u53,1.0,"43.70705195,-72.28597654",2013-05-07 22:05:56,
274,u53,1.0,"43.70688156,-72.28749658",2013-05-06 22:00:10,
275,u53,3.0,"43.70547131,-72.28304418",2013-05-15 01:51:10,
276,u53,2.0,"43.70558751,-72.28336246",2013-05-10 00:18:17,
277,u53,3.0,"43.70559534,-72.28313851",2013-05-14 00:01:06,
278,u53,3.0,"43.70551136,-72.28316719",2013-05-11 01:25:07,
279,u53,2.0,"43.70537202,-72.28297073",2013-05-12 00:10:05,
280,u53,3.0,"43.70542341,-72.28319396",2013-05-21 00:06:54,
281,u53,2.0,"43.70416071,-72.28306081",2013-05-26 00:25:01,
282,u53,2.0,"43.70535792,-72.28322749",2013-05-28 00:37:13,
283,u56,1.0,"43.01438705,-72.34856028",2013-04-27 22:23:42,
284,u56,2.0,"43.70737172,-72.28925232",2013-05-10 23:22:08,
285,u56,2.0,"43.71336539,-72.30832135",2013-05-15 00:57:00,
286,u56,3.0,Unknown,2013-05-20 00:08:23,
287,u56,2.0,"43.70284272,-72.28796634",2013-05-31 00:43:34,
288,u56,1.0,"43.71654905,-72.30960914",2013-06-04 00:03:51,
289,u57,2.0,"43.70666061,-72.28903716",2013-04-26 22:56:14,
290,u57,1.0,"43.70485698,-72.28945429",2013-05-03 03:47:43,
291,u57,1.0,"43.70179228,-72.28860724",2013-05-08 23:25:41,
292,u57,1.0,"43.70308576,-72.28839024",2013-05-06 22:30:50,
293,u57,2.0,"43.70687238,-72.28901692",2013-05-04 22:08:07,
294,u57,1.0,"43.70732268,-72.28833124",2013-05-11 00:12:00,
295,u57,1.0,"43.7070796,-72.28882058",2013-05-07 22:50:48,
296,u57,1.0,"43.70700709,-72.28922941",2013-05-12 00:12:11,
297,u57,2.0,Unknown,2013-05-04 02:25:29,
298,u57,1.0,"43.707181,-72.29006239",2013-05-13 02:15:19,
299,u57,1.0,"43.7072387,-72.28877449",2013-05-14 00:00:12,
300,u57,3.0,Unknown,2013-05-20 00:09:05,
301,u57,1.0,"43.70615351,-72.28682232",2013-05-23 00:35:44,
302,u57,1.0,"43.70236185,-72.28476643",2013-05-25 00:01:36,
303,u57,2.0,"43.70502248,-72.28958197",2013-05-28 00:38:10,
304,u57,3.0,"43.70622114,-72.2867619",2013-05-26 00:23:37,
305,u57,2.0,"43.70385587,-72.28950707",2013-05-31 00:16:24,
306,u57,1.0,"43.70706952,-72.28925006",2013-06-04 00:04:49,
307,u57,1.0,"43.66400198,-72.30431921",2013-06-03 00:23:34,
308,u58,1.0,"43.70607286,-72.2833536",2013-04-26 20:37:10,
309,u58,1.0,"43.70607286,-72.2833536",2013-04-26 22:01:25,
310,u58,3.0,"43.65097173,-72.30990324",2013-05-03 03:46:18,
311,u58,3.0,"43.70520947,-72.28356895",2013-05-04 03:26:56,
312,u58,1.0,"43.70546147,-72.28368453",2013-05-05 23:14:52,
313,u58,1.0,"43.70613957,-72.28332105",2013-05-11 00:00:16,
314,u58,3.0,"43.70614926,-72.28344788",2013-05-14 02:38:47,
315,u58,3.0,"43.70838377,-72.28274138",2013-05-10 01:27:14,
316,u58,1.0,"43.70647378,-72.28294033",2013-05-13 03:45:22,
317,u58,1.0,"43.70647378,-72.28294033",2013-05-13 03:45:19,
318,u58,2.0,"43.70638908,-72.28324332",2013-05-22 00:23:00,
319,u58,1.0,"43.70646499,-72.28333085",2013-05-24 01:35:16,
320,u58,3.0,"43.70627797,-72.28329051",2013-05-31 00:05:29,
321,u58,3.0,"43.70606092,-72.28326211",2013-05-26 01:57:03,
322,u58,1.0,"43.70534904,-72.2834498",2013-06-01 03:30:42,
323,u58,1.0,"43.62470731,-72.32462104",2013-05-28 04:42:59,
324,u58,2.0,"43.70622433,-72.28334234",2013-05-29 00:07:43,
325,u58,2.0,"43.7064518,-72.28345807",2013-06-02 00:06:38,
326,u59,3.0,"43.70479466859251,-72.28935417719185",2013-04-29 15:58:34,
329,u59,1.0,"43.705345443449914,-72.29143733158708",2013-04-26 04:37:26,
330,u59,1.0,"43.703765999525785,-72.29026176966727",2013-04-25 23:53:56,
331,u59,3.0,Unknown,2013-04-27 12:01:49,
332,u59,1.0,"43.705437812022865,-72.29115846566856",2013-04-26 08:17:21,
333,u59,1.0,"43.705083089880645,-72.28796797804534",2013-04-26 23:08:45,
334,u59,3.0,Unknown,2013-04-27 21:15:31,
335,u59,2.0,Unknown,2013-04-30 10:49:11,
336,u59,3.0,"43.705516937188804,-72.29096400551498",2013-04-28 21:11:24,
337,u59,3.0,"43.70636967010796,-72.28717530146241",2013-04-29 10:27:12,
338,u59,2.0,"43.706689733080566,-72.28658253327012",2013-04-29 08:14:18,
339,u59,2.0,"43.704183753579855,-72.28855940513313",2013-04-29 19:05:44,
340,u59,2.0,"43.704183753579855,-72.28855940513313",2013-04-29 16:53:34,
341,u59,2.0,"43.70579710230231,-72.29083056561649",2013-04-30 19:03:43,
342,u59,3.0,"43.70313869789243,-72.2904294077307",2013-05-01 05:00:59,
343,u59,1.0,"43.70489332359284,-72.28969481773674",2013-05-02 07:11:23,
344,u59,1.0,"43.70554116088897,-72.29079972021282",2013-05-02 02:02:01,
345,u59,3.0,"43.70563415810466,-72.2912774886936",2013-05-02 16:02:51,
346,u59,1.0,"43.70215223170817,-72.28934881277382",2013-05-02 17:59:05,
347,u59,1.0,"43.70413077995181,-72.2902893461287",2013-05-03 00:00:40,
348,u59,1.0,"43.70568541344255,-72.29091857559979",2013-05-03 05:00:54,
349,u59,2.0,"29.90313538815826,-90.02738610841334",2013-05-13 07:26:55,
350,u59,1.0,Unknown,2013-05-04 10:27:01,
351,u59,3.0,"43.705581771209836,-72.29074255563319",2013-05-06 10:44:15,
352,u59,3.0,"43.70553600601852,-72.29107699356973",2013-05-16 15:42:57,
353,u59,1.0,Unknown,2013-05-05 02:14:19,
354,u59,2.0,"43.706466439180076,-72.28715711273253",2013-05-08 12:07:54,
355,u59,3.0,Unknown,2013-05-09 08:22:07,
356,u59,1.0,"43.70178573299199,-72.28840081952512",2013-05-05 06:20:16,
357,u59,3.0,"43.705528462305665,-72.29130095802248",2013-05-03 20:04:21,
358,u59,1.0,"43.70416569057852,-72.29038154706359",2013-05-07 02:30:17,
359,u59,1.0,Unknown,2013-05-08 03:48:37,
360,u59,3.0,Unknown,2013-05-03 23:49:24,
361,u59,1.0,Unknown,2013-05-04 22:28:47,
362,u59,1.0,"43.703408762812614,-72.28875830769539",2013-05-09 17:54:58,
363,u59,2.0,"29.90291280671954,-90.0272652413696",2013-05-12 12:07:21,
364,u59,3.0,"43.70551781728864,-72.29054197669029",2013-05-05 20:56:21,
365,u59,3.0,Unknown,2013-05-08 17:36:44,
366,u59,3.0,Unknown,2013-05-15 06:04:02,
367,u59,1.0,"43.70586520526558,-72.29101865552366",2013-05-04 04:01:34,
368,u59,3.0,"43.70743128005415,-72.28925778530538",2013-05-15 08:12:37,
369,u59,3.0,"43.705429220572114,-72.29127271100879",2013-05-07 16:57:32,
370,u59,2.0,Unknown,2013-05-11 00:00:10,
371,u59,1.0,"43.709054100327194,-72.28421556763351",2013-05-09 22:00:30,
372,u59,2.0,"33.64048871677369,-84.43573283962905",2013-05-11 17:34:15,
373,u59,3.0,"43.70531283784658,-72.28896860964596",2013-05-18 00:04:17,
374,u59,1.0,Unknown,2013-05-19 01:18:00,
375,u59,1.0,"43.704725224524736,-72.28949784301221",2013-05-20 00:24:14,
376,u59,1.0,"43.705568527802825,-72.29081480763853",2013-05-19 19:34:55,
377,u59,1.0,"43.70492928195745,-72.29191333986819",2013-05-18 21:08:09,
378,u59,3.0,"43.70559212286025,-72.29091203771532",2013-05-20 20:47:34,
379,u59,3.0,"43.70559212286025,-72.29091203771532",2013-05-20 22:53:15,
380,u59,1.0,"43.705461281351745,-72.2910166438669",2013-05-21 09:13:31,
381,u59,1.0,"43.705348586663604,-72.28977226652205",2013-05-22 00:06:36,
382,u59,1.0,Unknown,2013-05-21 18:55:41,
383,u59,3.0,"43.70286435820162,-72.28974292986095",2013-05-22 05:38:54,
384,u59,1.0,"43.705720701254904,-72.29104246012866",2013-05-23 01:31:57,
385,u59,3.0,"43.705720701254904,-72.29104246012866",2013-05-22 18:58:21,
386,u59,3.0,"43.705720701254904,-72.29104246012866",2013-05-23 00:03:40,
387,u59,3.0,Unknown,2013-05-24 06:07:17,
388,u59,1.0,Unknown,2013-05-24 00:12:44,
389,u59,1.0,Unknown,2013-05-23 18:00:28,
390,u59,3.0,"43.70560381561518,-72.29110607877374",2013-05-28 20:07:30,
