,User,Social2,null,resp_time,other_relaxing,other_working,relaxing,working,location
366,u22,,,2013-05-14 22:16:56,1.0,1.0,1.0,5.0,"43.70394194,-72.29039284"
367,u22,,,2013-05-08 07:17:09,3.0,1.0,1.0,3.0,"43.70396191,-72.2905632"
368,u22,,,2013-05-17 22:16:19,4.0,4.0,1.0,1.0,"43.70392777,-72.29045036"
383,u23,,,2013-04-09 06:11:10,2.0,1.0,1.0,3.0,
384,u23,,,2013-04-15 06:48:58,1.0,1.0,1.0,1.0,
385,u23,,,2013-04-10 02:35:58,1.0,1.0,1.0,3.0,
386,u23,,,2013-04-10 06:00:36,1.0,1.0,1.0,1.0,
387,u23,,,2013-04-12 06:02:34,1.0,1.0,1.0,1.0,
388,u23,,,2013-04-11 06:00:37,1.0,1.0,1.0,4.0,
389,u23,,,2013-04-13 06:00:50,1.0,2.0,1.0,4.0,
390,u23,,,2013-04-14 06:00:16,1.0,1.0,3.0,2.0,
391,u23,,,2013-04-24 17:18:55,1.0,1.0,1.0,1.0,"43.70538185,-72.28324725"
392,u23,,,2013-04-25 17:15:22,1.0,1.0,1.0,1.0,"43.70542978,-72.28317344"
400,u24,,,2013-04-12 08:13:28,3.0,1.0,2.0,1.0,
401,u24,,,2013-04-12 08:13:27,3.0,1.0,2.0,1.0,
402,u24,,,2013-04-13 20:57:33,3.0,1.0,2.0,1.0,
403,u24,,,2013-04-14 07:02:22,4.0,1.0,2.0,1.0,
404,u24,,,2013-04-15 06:27:03,1.0,1.0,1.0,1.0,
405,u24,,,2013-05-17 22:39:02,3.0,1.0,1.0,2.0,"43.70636729,-72.29144404"
406,u24,,,2013-05-17 19:32:57,2.0,1.0,2.0,3.0,"43.40089792,-72.02094469"
411,u25,,,2013-04-09 06:35:50,1.0,2.0,1.0,3.0,
412,u25,,,2013-04-10 06:13:54,1.0,1.0,1.0,4.0,
413,u25,,,2013-04-12 06:12:19,1.0,2.0,2.0,3.0,
414,u25,,,2013-04-21 22:30:06,2.0,1.0,2.0,3.0,"43.70073445,-72.28687341"
419,u27,,,2013-04-12 06:18:07,1.0,1.0,3.0,1.0,
420,u27,,,2013-04-15 06:22:34,1.0,2.0,1.0,3.0,
421,u27,,,2013-04-17 09:19:05,1.0,3.0,1.0,3.0,
422,u27,,,2013-04-18 20:27:23,2.0,1.0,1.0,3.0,null
423,u27,,,2013-04-25 17:16:22,2.0,1.0,3.0,2.0,Unknown
424,u27,,,2013-05-15 22:21:24,1.0,1.0,1.0,1.0,"43.70367367,-72.28792484"
425,u27,,,2013-05-18 22:25:38,1.0,1.0,1.0,1.0,"43.70411915,-72.28567946"
431,u30,,,2013-04-12 08:15:02,3.0,3.0,1.0,1.0,
432,u30,,,2013-04-20 22:09:19,2.0,1.0,1.0,3.0,"41.23064284,-73.0728831"
433,u30,,,2013-04-21 20:26:18,2.0,2.0,1.0,3.0,"41.23064284,-73.0728831"
434,u30,,,2013-04-29 17:59:23,2.0,1.0,1.0,4.0,"43.70906142,-72.28431236"
435,u30,,,2013-05-03 06:29:59,3.0,2.0,1.0,3.0,"43.7024991,-72.28938342"
439,u31,,,2013-04-09 06:00:31,3.0,2.0,2.0,4.0,
440,u31,,,2013-04-12 06:19:55,2.0,1.0,1.0,5.0,
441,u31,,,2013-04-13 08:13:02,1.0,1.0,1.0,1.0,
445,u32,,,2013-04-08 19:13:44,1.0,3.0,1.0,3.0,
446,u32,,,2013-04-10 07:56:25,2.0,4.0,1.0,1.0,
447,u32,,,2013-04-11 09:40:10,3.0,2.0,1.0,3.0,
448,u32,,,2013-04-12 08:46:22,1.0,4.0,1.0,2.0,
449,u32,,,2013-04-14 07:16:18,4.0,1.0,1.0,1.0,
