User,number_of_people,avg_stress_level,amount_of_workouts,avg_workout_per_day,avg_workout_time,avg_walk_time,avg_sleep_hours,avg_sleep_rating,avg_happy_rating,avg_sad_rating,happy_percentage,sad_percentage,stressed_percentage,avg_alone_percentage,avg_together_percentage,avg_working_percentage,avg_relaxing_percentage
u42,11.133333333333333,2.2758620689655173,10.0,0.15384615384615385,1.3636363636363635,29.545454545454547,5.785714285714286,1.5714285714285714,2.25,0.0,100.0,,,48.16678956401026,51.83321043598974,40.80395312508686,59.19604687491314
u43,17.818181818181817,3.5454545454545454,34.0,0.5230769230769231,0.0,38.8235294117647,6.24,2.24,2.0,1.0,100.0,,,40.64140504818471,59.3585949518153,53.42959059947629,46.57040940052371
u44,8.275862068965518,2.8850574712643677,40.0,0.6153846153846154,4.090909090909091,26.931818181818183,7.0344827586206895,1.1379310344827587,1.75,0.25,16.666666666666664,,83.33333333333334,79.32904014098986,20.670959859010136,70.43097584350907,29.569024156490933
u45,14.4,2.1785714285714284,6.0,0.09230769230769231,2.142857142857143,15.0,6.363636363636363,1.0909090909090908,1.0,0.0,54.54545454545454,27.27272727272727,18.181818181818183,83.60425104611151,16.39574895388849,64.97946497946498,35.02053502053502
u46,28.647058823529413,3.606060606060606,10.0,0.15384615384615385,17.692307692307693,25.384615384615383,5.630434782608695,2.347826086956522,2.0,1.0,,33.33333333333333,66.66666666666666,49.38035643279766,50.61964356720234,57.80836416901853,42.19163583098147
u47,26.764705882352942,3.0,8.0,0.12307692307692308,8.333333333333334,21.666666666666668,5.666666666666667,1.5555555555555556,3.0,0.0,36.36363636363637,27.27272727272727,36.36363636363637,77.4100481937939,22.589951806206113,79.41858604254179,20.58141395745821
u49,22.696969696969695,2.540983606557377,19.0,0.2923076923076923,12.0,5.4,5.902439024390244,2.024390243902439,2.176470588235294,0.35294117647058826,42.857142857142854,42.857142857142854,14.285714285714285,56.22659543515051,43.77340456484949,64.63521631208154,35.36478368791847
u50,4.142857142857143,4.0,,,15.0,15.0,5.916666666666667,2.1666666666666665,2.0,0.0,,,,42.652352372617074,57.347647627382926,49.09565134168924,50.90434865831076
u51,5.9393939393939394,3.340909090909091,9.0,0.13846153846153847,25.714285714285715,19.285714285714285,5.9411764705882355,1.9705882352941178,0.75,1.125,8.0,36.0,56.00000000000001,57.342617934413674,42.657382065586326,57.11109839909667,42.88890160090333
u52,11.307692307692308,3.097560975609756,10.0,0.15384615384615385,0.0,13.5,6.108695652173913,1.2608695652173914,1.5,2.5,50.0,,50.0,33.6398945775866,66.3601054224134,30.36300269309978,69.63699730690023
u53,15.35483870967742,3.236842105263158,18.0,0.27692307692307694,3.5714285714285716,15.0,5.85,2.7096774193548385,1.3333333333333333,0.3333333333333333,16.666666666666664,50.0,33.33333333333333,46.4040184537079,53.5959815462921,57.793979843669284,42.20602015633072
u54,23.181818181818183,3.15,1.0,0.015384615384615385,55.0,62.5,5.291666666666667,2.25,,,,,,40.20905255082471,59.7909474491753,77.86728039892597,22.13271960107403
u56,12.416666666666666,2.263157894736842,2.0,0.03076923076923077,5.0,20.0,7.142857142857143,2.0476190476190474,2.0,0.0,18.181818181818183,27.27272727272727,54.54545454545454,41.27393363943997,58.72606636056003,46.40325225768263,53.59674774231737
u57,51.666666666666664,3.298507462686567,16.0,0.24615384615384617,36.09375,44.0625,6.229508196721311,1.9508196721311475,2.5,1.0,42.857142857142854,21.428571428571427,35.714285714285715,29.11003520789917,70.88996479210083,53.006285332595354,46.993714667404646
u58,7.534883720930233,3.2545454545454544,16.0,0.24615384615384617,39.166666666666664,44.333333333333336,6.129310344827586,1.5517241379310345,1.8823529411764706,0.5882352941176471,27.27272727272727,54.54545454545454,18.181818181818183,56.96726692170396,43.03273307829605,50.04649333753825,49.95350666246175
u59,42.34177215189873,2.646840148698885,34.0,0.5230769230769231,3.3333333333333335,45.42857142857143,5.635714285714286,2.1232876712328768,2.1204819277108435,1.2530120481927711,23.56020942408377,62.82722513089005,13.612565445026178,34.85681570938342,65.14318429061659,47.35478321394911,52.64521678605089
